;Zinc_ID;SMILES;MolecularFormula;MolWt;MolLogp;HAcceptors;HDonors;RotableBonds;RindCount;TPSA
122;ZINC000002039484;O=C(O)[C@](O)(CO)C[C@H](O)CO;C6H12O6;180.06338810399998;-2.4622999999999995;5;5;5;0;118.22000000000001
123;ZINC000013435241;CO[C@H]([C@H](O)C=O)[C@@H](O)[C@H](C)O;C7H14O5;178.084123548;-1.6970999999999996;5;3;5;0;86.99000000000001
124;ZINC000035024242;CN(C)C[C@@H](N)C(=O)O;C5H12N2O2;132.089877624;-1.0400999999999985;3;2;3;0;66.56
125;ZINC000014723976;O=C(O)[C@@H]1NN=CC[C@@H]1O;C5H8N2O3;144.053492116;-1.2204000000000004;4;3;1;1;81.92
126;ZINC000003861573;O[C@H]1OC[C@@H](O)[C@H](O)[C@@H]1O;C5H10O5;150.05282342;-2.5823000000000005;5;4;0;1;90.15
127;ZINC000014723973;O=C(O)[C@H]1NN=CC[C@@H]1O;C5H8N2O3;144.053492116;-1.2204000000000004;4;3;1;1;81.92
128;ZINC000013353839;COC(=O)C[C@H](O)[C@@H](N)C(=O)OC;C7H13NO5;191.079372516;-1.5892999999999995;6;2;4;0;98.85000000000001
129;ZINC000014419518;C[C@H]([C@@H](O)CO)[C@@H](N)C(=O)O;C6H13NO4;163.084457896;-1.6123999999999992;4;4;4;0;103.78000000000002
130;ZINC000100349871;O=C(O)[C@H](O)C(=O)[C@H](O)[C@@H](O)CO;C6H10O7;194.04265266;-3.2849;6;5;5;0;135.29
131;ZINC000308102125;COC[C@H](O)[C@H](O)[C@H](O)[C@@H](O)C=O;C7H14O6;194.079038168;-2.7247000000000003;6;4;6;0;107.22
132;ZINC000096911256;O[C@H]1[C@H](O)CN2CC[C@H](O)[C@@H]2[C@H]1O;C8H15NO4;189.10010796;-2.4820999999999986;5;4;0;2;84.16000000000001
133;ZINC000004095881;O=C(CO)COS(=O)(=O)O;C3H6O6S;169.98850891200001;-1.6327999999999998;5;2;4;0;100.9
134;ZINC000156387241;NC1=C(C(=O)O)C(=O)[C@@H]2O[C@H]2[C@@H]1O;C7H7NO5;185.032422324;-2.0051999999999994;5;3;1;2;113.15000000000002
135;ZINC000224441499;O=C(O)C(=O)CC[C@H](O)CO;C6H10O5;162.05282342;-1.2265;4;3;5;0;94.83
136;ZINC000005131905;NC[C@@H](NC(=O)C(=O)O)C(=O)O;C5H8N2O5;176.043321356;-2.4009;4;4;3;0;129.72
137;ZINC000014585673;COC(=O)[C@@H](O)CC(=O)O;C5H8O5;148.037173356;-1.0050000000000003;4;2;3;0;83.83
138;ZINC000257461388;N[C@@]12CC[C@@H](N1)[C@H](O)[C@@H](O)[C@H]2O;C7H14N2O3;174.100442308;-2.5102999999999986;5;5;0;2;98.74000000000001
139;ZINC000038599879;O=C[C@@H]1O[C@H](CO)[C@H](O)[C@H]1O;C6H10O5;162.05282342;-2.3331999999999993;5;3;2;1;86.99000000000001
140;ZINC000004298371;C[C@@H](O)[C@@H](NC(N)=O)C(=O)O;C5H10N2O4;162.0640568;-1.5113000000000003;3;4;3;0;112.64999999999999
141;ZINC000100774997;O[C@@H]1CC[C@@H]2C[C@@H](O)[C@]1(O)N2;C7H13NO3;159.089543276;-1.4475000000000007;4;4;0;2;72.72
142;ZINC000307742373;C[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](CO)N1C;C8H17NO4;191.115758024;-2.2360999999999995;5;4;1;1;84.16
143;ZINC000015274319;N=C1NOCC[C@@H](C(=O)O)N1;C5H9N3O3;159.064391148;-1.1111300000000002;3;4;1;1;94.44
144;ZINC000002020259;CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO;C7H17NO5;195.110672644;-3.3582999999999994;6;6;6;0;113.18
145;ZINC000013369274;O=C1[C@@H](P(=O)(O)O)C[C@@H](O)N1O;C4H8NO6P;197.00892360600002;-1.5274;4;4;1;1;118.30000000000001
146;ZINC000013327904;O=C1OCC[C@@]1(O)CO;C5H8O4;132.042258736;-1.3433000000000002;4;2;1;1;66.76
147;ZINC000013612564;OC[C@@H]1NC[C@H](O)[C@@H](O)[C@H]1O;C6H13NO4;163.084457896;-2.9667999999999988;5;5;1;1;92.95
148;ZINC000001677289;N[C@H](CCC[C@@H](N)C(=O)O)C(=O)O;C7H14N2O4;190.095356928;-1.019499999999999;4;4;6;0;126.64
149;ZINC000002560737;NC(=O)CC[C@@H](N)C(N)=O;C5H11N3O2;145.085126592;-1.9355000000000002;3;3;4;0;112.19999999999999
150;ZINC000014656234;C[C@@H]1O[C@@H](O)CC[C@@]1(O)C(=O)CO;C8H14O5;190.084123548;-1.2038;5;3;2;1;86.99
151;ZINC000013353096;CC#C[C@H](O)[C@@H](N)C(=O)O;C6H9NO3;143.058243148;-1.2174999999999996;3;3;2;0;83.55
152;ZINC000014948984;C[C@@H]1NC(=O)[C@@H]2C[C@@H](O)CN2C1=O;C8H12N2O3;184.084792244;-1.5335;3;2;0;2;69.64
153;ZINC000034621696;OC[C@@H]1SC[C@@H](O)[C@H]1O;C5H10O3S;150.03506518;-1.1841000000000002;4;3;1;1;60.69
154;ZINC000085936263;COC1=CC(=O)[C@H](O)[C@](C)(O)[C@H]1O;C8H12O5;188.068473484;-1.4278000000000002;5;3;1;1;86.99000000000001
155;ZINC000140705359;O[C@@H]1[C@H]2O[C@H]3CO[C@@H]1[C@H]3O2;C6H8O4;144.042258736;-1.1302000000000003;4;1;0;3;47.92
156;ZINC000167822368;CO[C@H](C=O)[C@@H]1OC[C@H](O)[C@H]1O;C7H12O5;176.068473484;-1.6790999999999998;5;2;3;1;75.99000000000001
157;ZINC000059206978;N[C@@H]1C[C@H](CO)[C@H](O)[C@H](O)[C@H]1O;C7H15NO4;177.10010796;-2.5913999999999997;5;5;1;1;106.94000000000001
158;ZINC000014451113;N[C@@H](C[S@](=O)CCO)C(=O)O;C5H11NO4S;181.040878832;-1.8606999999999991;4;3;5;0;100.62000000000002
159;ZINC000002384917;N[C@@H](C(=O)O)[C@@H](O)[C@H](O)[C@H](O)CO;C6H13NO6;195.074287136;-3.5266999999999995;6;6;5;0;144.24
160;ZINC000104372385;O=C(O)[C@@H]1O[C@H](O)[C@H](O)[C@H]1O;C5H8O6;164.03208797599999;-2.4900000000000007;5;4;1;1;107.22000000000001
161;ZINC000199284813;O=C1C(CO)=C[C@H](O)[C@@H](O)[C@@H]1O;C7H10O5;174.05282342;-2.4295000000000004;5;4;1;1;97.99000000000001
162;ZINC000003869508;CC(=O)[C@@H](O)[C@@H](O)CO;C5H10O4;134.0579088;-1.7105;4;3;3;0;77.76
